customer_id	usage_date	features_used	minutes_spent	errors_reported
119	2024/05/10	Reports	40.59	0
1	2024/06/16	API	63.42	error
89	2024/05/24	Dashboard	85.74	error
18	2024/01/28	Dashboard	32.0	1
35	2024/06/27	Upload	51.11	0
108	2023/12/09	Alerts	1.56	3
97	2023/12/10	Dashboard	2.78	0
139	2023/08/08	Upload	16.11	1
138	2023/12/19	Export	92.1	0
1	2024/06/22	Dashboard	44.44	0
185	2024/03/05	Alerts	36.34	0
64	2024/01/22	Reports	54.68	1
186	2024/06/26	Dashboard###	20.18	1
158	2024/06/27	Dashboard	65.7	error
153	2023/06/18	Alerts	32.96	0
13	2023/10/04	Upload###	47.09	1
139	2023/09/20	Dashboard	74.51	0
60	2024/06/09	Export	45.74	1
173	2023/11/12	API	59.94	0
170	2024/02/22	API	81.01	1
143	2024/03/29	Upload	99.48	0
110	2024/03/11	Alerts###	110.69	0
165	2024/05/09	Alerts	20.75	0
107	2023/12/27	API	18.72	0
138	2024/01/29	API	29.23	0
182	2023/08/13	Alerts	55.25	0
107	2024/03/12	Export	101.29	1
53	2023/11/17	Upload	67.26	0
95	2023/07/18	Export	89.3	2
69	2023/12/11	Upload	42.79	error
19	2023/09/05	Export	36.53	2
123	2023/09/15	Reports	6.39	3
55	2023/09/06	Upload	85.62	0
123	2023/10/03	Upload	41.74	4
62	2024/03/09	Reports	43.34	3
137	2024/04/28	Reports	12.97	1
128	2024/01/25	Dashboard	40.73	0
195	2023/11/11	API	76.81	0
145	2023/09/22	Upload	91.24	0
150	2024/03/23	Upload	52.27	1
85	2023/09/26	Alerts	106.42	1
141	2024/05/01	Upload	75.8	0
126	2024/06/05	Upload	49.98	0
188	2023/11/28	API	89.67	0
48	2024/03/04	Upload	71.33	0
20	2024/05/08	Dashboard	6.93	0
162	2023/09/27	Dashboard	88.33	error
130	2024/01/20	Reports	36.92	0
158	2024/02/03	Upload	66.53	error
142	2023/12/28	Dashboard###	30.4	1
138	2023/10/25	Dashboard	85.03	1
111	2023/08/31	Dashboard	44.56	0
62	2023/09/07	Export	68.89	0
69	2023/12/21	Dashboard	44.81	0
145	2023/10/03	Upload	57.09	1
21	2024/04/30	Upload	56.0	error
98	2023/12/11	Export	16.8	0
180	2023/08/27	Dashboard	67.42	0
85	2024/03/16	Dashboard	36.28	1
59	2023/09/17	Upload	29.09	0
12	2023/07/09	Upload	21.21	0
145	2024/05/02	Dashboard	41.79	0
5	2023/09/15	Export	13.94	0
102	2023/07/10	Reports	103.94	0
100	2024/05/12	Export	46.06	1
36	2024/05/18	Upload	70.54	1
89	2023/06/28	Dashboard	26.39	0
88	2024/04/05	Export	36.75	1
199	2023/11/15	Dashboard	24.06	0
116	2024/02/07	API	70.54	1
111	2023/09/04	Upload	15.36	0
198	2024/04/12	Reports	41.16	0
22	2023/10/16	API	16.33	0
40	2024/06/13	Alerts	22.31	0
2	2023/11/05	Alerts	2.33	0
34	2023/07/15	API	25.6	0
132	2023/12/26	Dashboard###	12.55	1
24	2024/04/01	Export	76.66	0
4	2023/10/28	Alerts	64.61	error
144	2023/10/03	Export	47.32	0
44	2023/08/11	Reports	19.16	1
17	2023/08/25	Alerts	33.36	0
20	2023/12/02	Reports	24.95	1
127	2024/03/31	Export	3.04	0
78	2023/06/04	Alerts	61.89	0
85	2024/01/12	Reports	25.48	0
167	2024/03/31	API	30.39	0
178	2023/09/11	Alerts	46.46	0
82	2023/10/28	Upload	20.07	1
148	2023/10/03	Reports	56.71	2
101	2023/12/04	Dashboard	42.45	0
140	2023/09/01	Upload	60.85	error
187	2024/01/23	Upload	51.23	0
178	2023/07/06	Alerts	5.08	1
78	2023/10/02	Reports	61.3	0
97	2023/07/08	Alerts	53.39	0
103	2024/02/29	Export	37.23	0
108	2024/03/05	Dashboard	0.73	0
138	2024/03/31	Upload	68.93	0
64	2024/05/02	Upload	128.51	0
12	2024/03/15	Upload	3.33	0
193	2023/11/17	Alerts	26.94	error
57	2024/02/17	Upload	67.81	1
148	2023/09/22	Alerts	23.3	0
174	2024/03/28	Upload	118.02	0
7	2024/02/03	Dashboard	50.09	0
22	2023/07/30	Upload	47.68	0
117	2023/09/14	Export	59.64	1
113	2024/06/04	Upload	92.4	error
12	2024/05/29	Dashboard###	27.16	0
28	2024/05/12	API	62.65	0
133	2023/08/29	Export	61.3	0
119	2023/09/27	Alerts	76.05	0
169	2024/01/08	Alerts###	36.89	1
51	2024/01/17	Export	73.43	error
55	2023/09/14	Reports	24.71	0
17	2024/03/22	Dashboard	21.91	1
94	2023/11/14	API	54.81	0
126	2024/02/26	Upload	38.43	0
101	2024/03/27	Dashboard	52.07	0
159	2023/08/28	Upload	68.13	1
158	2024/03/29	Dashboard	18.76	1
62	2023/11/04	Dashboard	32.99	0
131	2023/12/16	Alerts	50.46	0
109	2023/09/04	Alerts	52.45	0
166	2023/08/28	Export	69.91	0
48	2023/11/09	Alerts	19.32	0
3	2024/02/04	API	59.37	0
144	2024/02/14	Upload	55.01	1
107	2024/05/29	Alerts	83.61	error
8	2024/06/24	API	31.66	0
138	2023/10/26	API	67.71	1
198	2024/06/27	Alerts	17.34	1
30	2023/10/16	Export	21.79	0
194	2023/06/22	Upload	7.66	1
109	2023/07/23	Upload	18.27	1
77	2023/06/17	Alerts	24.74	0
23	2024/01/11	Dashboard	118.37	0
189	2024/03/28	Upload	48.88	2
162	2024/01/06	API	59.43	1
53	2023/07/01	Export	51.72	0
138	2023/08/26	Reports	4.76	3
147	2023/10/15	Export	101.6	0
25	2023/08/09	Alerts	46.67	0
168	2023/08/04	Upload	77.83	0
183	2023/11/12	API	40.26	1
126	2023/08/12	Export	32.19	0
97	2024/01/18	Dashboard	70.57	1
24	2023/12/24	Export	24.62	0
95	2024/01/19	Alerts	34.93	error
199	2024/06/10	Dashboard	95.07	0
171	2024/05/23	Reports	11.24	0
102	2023/09/20	Alerts	40.53	0
83	2023/10/24	Reports	69.13	0
125	2023/11/23	Upload	40.28	error
161	2024/01/22	Dashboard	100.47	0
113	2024/01/20	Dashboard	78.8	1
177	2023/08/07	Upload	21.03	1
71	2023/07/18	Upload	40.06	error
171	2024/04/28	API	24.67	1
186	2024/05/24	API	49.48	error
25	2023/06/01	API	41.55	0
58	2024/02/21	Upload	49.65	error
88	2023/08/01	Alerts	44.02	0
59	2023/12/14	Dashboard	28.7	0
81	2023/12/06	Reports	37.35	0
193	2023/08/08	Upload	90.12	0
136	2024/03/15	Dashboard	82.38	0
90	2024/06/04	API	17.2	0
106	2024/04/11	Upload	2.77	1
26	2023/08/11	Dashboard	21.67	0
110	2023/11/09	API	59.56	1
64	2024/03/10	Export	21.82	0
200	2024/05/19	Dashboard	66.65	0
78	2023/09/14	Export	11.13	0
101	2023/10/30	Upload	29.26	1
62	2024/02/09	Alerts	59.68	0
153	2023/07/07	Export	69.42	error
93	2023/11/10	API	16.79	2
108	2023/12/05	Export	12.57	0
198	2023/07/08	Dashboard	63.48	error
56	2023/06/21	Dashboard	5.09	2
74	2024/04/17	Upload	97.94	0
180	2023/12/23	Dashboard	84.47	0
40	2023/10/21	Dashboard	7.59	1
53	2023/08/19	Export	17.46	0
196	2024/04/28	Upload	95.89	2
112	2024/06/08	API	43.87	error
112	2023/07/30	Alerts	78.1	error
171	2024/06/14	Upload	48.43	0
182	2023/08/10	Upload###	49.51	0
89	2024/02/23	Export	54.23	1
43	2023/12/08	API	6.31	0
188	2023/07/31	Dashboard	6.35	0
135	2023/07/03	Reports	48.02	0
20	2024/02/10	Alerts	3.89	error
146	2023/08/25	Reports	61.56	0
147	2024/05/11	Upload	75.87	0
1	2023/06/23	Dashboard	59.18	0
99	2023/08/16	API	52.68	0
142	2024/05/31	Upload	74.48	1
64	2023/12/31	Upload	40.26	0
147	2023/12/08	Dashboard	69.2	0
46	2023/09/23	Export	34.56	0
18	2024/01/25	Reports	50.96	0
23	2024/03/10	Alerts###	0.72	0
145	2023/11/03	Upload	21.05	1
152	2024/02/08	API	16.52	2
63	2023/08/17	Dashboard	123.97	error
139	2023/11/25	Upload	63.23	0
86	2023/06/01	Upload	0.58	0
79	2023/07/24	API	5.69	1
126	2023/07/01	API	74.61	error
60	2024/02/22	Alerts	50.4	0
192	2023/07/14	Export	34.95	1
101	2023/07/09	Export	66.23	1
34	2023/09/30	Reports	28.13	0
101	2024/05/24	Upload	7.89	0
60	2023/07/09	API	79.32	1
28	2023/08/19	Dashboard	42.77	0
105	2023/08/01	Export	63.62	0
116	2023/11/05	Alerts	56.41	1
41	2024/05/17	Reports	63.32	1
11	2023/09/19	Reports	42.9	0
92	2023/12/20	Export###	4.83	2
45	2023/06/16	Alerts	57.89	0
141	2023/10/06	Dashboard	51.23	0
36	2023/08/02	Dashboard	12.57	3
57	2023/08/06	API	76.59	2
162	2024/04/26	Dashboard	2.85	0
20	2023/06/12	Dashboard	60.03	0
33	2023/07/18	Reports	13.73	1
13	2023/08/26	Export	83.34	0
128	2023/06/16	Alerts	88.41	0
55	2023/09/04	Reports	50.9	1
9	2024/04/10	Export	4.52	0
128	2023/12/28	Export	62.57	error
99	2023/08/10	Alerts	47.47	3
135	2023/10/06	Upload	76.96	1
5	2023/12/13	Upload	113.97	3
125	2023/11/24	Export	34.11	0
47	2023/06/14	Reports	18.82	error
200	2023/10/22	Dashboard	68.81	0
92	2024/06/27	Export	4.67	0
26	2023/10/05	Upload	17.44	0
189	2023/06/29	API	43.96	0
100	2023/11/29	API	52.03	1
189	2024/05/23	Reports	40.03	error
180	2023/11/28	Export	20.23	2
49	2024/02/08	Export	11.32	1
24	2023/06/29	API	56.47	error
123	2023/06/01	Reports	49.99	1
34	2023/11/22	Upload	59.77	0
83	2023/07/01	Dashboard	29.47	0
37	2023/07/27	Export	27.03	1
96	2024/05/26	Upload	87.62	1
78	2023/11/13	API	27.88	1
112	2024/04/23	Alerts	51.09	0
144	2024/05/21	Export	0.47	0
151	2023/08/29	Alerts	26.62	3
33	2023/08/30	Upload###	33.37	1
147	2023/12/18	Export###	39.69	0
157	2023/09/22	Upload	21.05	0
37	2023/11/17	Upload	44.01	0
82	2023/08/25	Upload	98.84	error
182	2024/05/09	Upload	65.84	0
3	2023/10/14	API	13.18	error
66	2023/07/26	Upload###	44.51	0
188	2024/01/01	API	80.65	0
97	2023/11/27	Export	30.32	1
148	2024/04/29	Upload	76.32	0
9	2023/10/29	Dashboard	52.2	1
19	2023/11/23	API	54.17	2
20	2024/03/07	Dashboard	77.0	1
124	2024/05/26	Dashboard	80.08	0
156	2024/01/09	API	33.89	1
49	2023/12/27	Upload	19.99	2
139	2023/10/14	Upload	50.73	1
13	2023/12/19	Export	46.39	1
14	2023/12/02	Dashboard	35.77	1
170	2024/04/16	Export	51.57	error
53	2023/08/27	Upload	42.14	error
30	2023/11/05	Alerts	53.37	1
68	2023/07/17	Upload	31.61	0
98	2023/12/07	API	50.82	1
120	2023/10/13	API	9.3	1
39	2024/06/20	Upload	73.95	error
89	2024/03/04	Alerts	56.01	0
142	2023/07/02	Alerts	29.23	0
138	2024/05/17	Alerts	41.07	1
77	2023/07/11	Alerts	16.06	0
129	2024/03/19	Export	1.56	0
159	2023/08/15	Dashboard	20.96	1
43	2023/09/17	API	78.66	0
175	2024/01/09	API	84.32	1
153	2023/10/11	Reports	64.51	0
18	2023/07/15	Alerts	42.02	1
71	2024/02/22	Alerts	71.94	error
180	2024/04/15	Export	38.8	0
107	2023/08/16	API	7.45	1
26	2023/07/25	Export	88.31	1
138	2023/11/24	Alerts	55.28	2
147	2024/04/07	Alerts###	58.7	1
37	2024/04/12	Export	82.48	0
102	2023/11/17	Upload	59.74	0
69	2023/12/08	Dashboard	56.25	0
80	2023/10/22	Alerts	22.28	0
59	2023/08/08	Reports	22.78	0
83	2023/10/16	Upload	44.57	0
49	2024/01/13	API	25.96	0
125	2024/06/23	Export	74.87	0
132	2023/08/21	Dashboard	39.81	0
35	2024/02/24	Export###	24.36	0
52	2023/06/30	API###	75.71	error
93	2024/05/26	API	12.19	2
130	2023/12/21	Upload	15.99	0
62	2023/12/08	Alerts	43.57	1
122	2024/03/27	Export	117.06	1
67	2024/06/18	Upload	44.32	error
13	2023/08/23	Export	18.71	0
57	2024/04/27	API	46.13	0
105	2024/02/18	Dashboard	39.63	0
175	2023/06/05	Alerts	23.04	0
154	2023/06/05	API	74.67	0
79	2024/05/30	Upload	63.7	0
97	2023/11/26	Alerts	53.27	1
174	2024/02/22	Export	21.04	1
131	2024/05/05	Reports	99.36	2
73	2023/10/31	Upload	55.74	error
71	2024/04/23	Reports	76.49	0
183	2024/04/29	Reports	28.94	1
62	2023/06/30	Export	39.06	1
36	2024/06/04	Dashboard	84.52	1
67	2024/01/01	Alerts	14.05	error
182	2024/03/19	API	29.12	1
176	2024/02/29	Upload	133.95	1
172	2023/12/01	Export	42.1	3
169	2024/03/12	API	29.93	0
190	2023/10/11	Upload	51.35	0
47	2024/05/14	Reports	77.73	1
58	2024/06/16	Reports	41.68	0
96	2023/10/12	Export	8.23	1
121	2023/06/28	Upload	1.07	1
19	2024/01/28	API	95.52	0
98	2024/02/27	Reports	31.23	2
39	2023/08/10	API	64.57	1
118	2023/08/13	Reports	2.29	1
21	2024/02/05	Reports	26.23	2
163	2023/06/30	Dashboard	56.87	0
199	2023/08/26	Export	44.23	0
196	2023/07/16	API	80.18	1
104	2024/01/06	Alerts	22.03	error
52	2024/06/09	Reports	52.06	0
194	2024/02/27	API###	34.13	error
188	2023/10/06	API	11.41	1
34	2023/07/23	Alerts	6.16	1
17	2023/06/24	Reports	79.82	1
134	2024/04/01	Export	47.3	0
35	2023/11/23	Alerts	6.51	1
104	2023/06/10	API	64.47	1
55	2024/06/10	Dashboard	3.24	0
94	2024/05/30	Upload	35.35	2
164	2023/10/09	Export	107.3	1
13	2024/05/04	Dashboard	35.19	error
177	2023/07/30	Alerts	28.47	0
65	2024/01/29	Upload	66.83	0
162	2023/06/05	Reports	46.56	0
134	2023/10/17	Export	66.98	0
27	2024/02/17	Upload	42.58	0
28	2024/02/10	API	72.49	0
134	2023/09/12	Reports	55.39	0
11	2024/03/07	Alerts	107.65	0
124	2023/11/17	API###	40.81	0
29	2024/03/20	Upload	78.25	0
200	2024/02/17	Dashboard	13.8	2
66	2024/04/25	API	26.29	1
68	2024/01/24	Dashboard	102.42	1
11	2023/10/27	Reports	49.51	0
190	2023/07/30	Dashboard	55.95	1
3	2023/08/10	Upload	31.53	2
113	2024/04/14	Reports	47.02	error
88	2023/09/02	Dashboard	64.16	0
70	2023/12/15	Upload	10.71	1
167	2023/08/25	Dashboard	75.15	1
41	2023/07/24	Alerts	37.43	2
146	2024/05/13	Alerts	80.68	2
92	2024/04/09	Dashboard	8.17	0
187	2023/08/06	Alerts	40.5	0
106	2024/01/12	Dashboard	48.77	0
4	2024/05/26	Upload	12.11	0
186	2024/03/16	API	1.8	1
87	2024/02/21	Export	1.58	0
111	2024/05/04	Upload	35.89	0
174	2024/04/24	Alerts	50.09	1
157	2023/06/28	Dashboard	24.0	0
121	2024/02/09	API	74.45	0
62	2023/11/17	Reports	35.26	0
165	2023/12/11	Alerts	3.31	error
114	2024/03/20	Alerts	4.36	0
81	2023/07/31	Alerts	114.86	error
104	2023/12/29	Dashboard	66.75	error
24	2024/04/05	Export	65.4	2
144	2023/09/14	Upload	62.26	0
94	2023/06/28	API	37.42	1
197	2024/04/13	Export	56.76	1
184	2024/01/18	Dashboard	43.99	0
1	2023/11/22	Reports	16.49	0
75	2024/03/07	Export	74.13	0
43	2024/02/08	API	26.48	0
105	2023/07/25	Reports	90.44	0
101	2023/09/19	Alerts	68.19	0
87	2023/07/26	Alerts###	40.97	1
173	2024/03/28	Dashboard	40.22	0
169	2024/03/28	Export	26.96	0
136	2024/06/11	Dashboard	54.59	0
150	2024/02/03	Export	44.41	1
178	2024/03/23	API	61.57	0
100	2024/05/02	Export	59.16	0
99	2024/01/01	Export	49.18	2
71	2023/12/21	Reports	59.99	0
35	2023/08/10	Alerts	6.11	2
132	2023/11/01	Upload	67.41	0
189	2024/03/10	Upload	23.98	1
183	2023/10/27	Upload	24.8	1
182	2024/04/28	API	53.37	0
83	2024/05/29	Dashboard	60.73	1
150	2024/03/19	Upload	22.95	0
137	2023/10/25	Alerts	46.31	1
7	2023/12/13	API	40.59	error
69	2024/06/19	API	28.28	0
38	2023/07/02	Upload	3.91	0
139	2023/06/17	Reports	20.89	0
173	2024/06/13	Export	94.17	1
144	2023/12/17	API	54.08	0
179	2023/10/26	Upload	28.98	0
100	2023/12/31	Upload	11.98	0
4	2024/06/15	Reports	23.66	0
114	2023/09/24	Upload	22.23	1
194	2024/03/28	Export	46.0	0
186	2023/09/08	Reports	54.93	0
20	2023/09/04	API	70.01	0
11	2024/01/06	Reports	81.83	2
150	2023/10/09	Dashboard	8.71	1
40	2023/06/21	API	47.89	1
199	2024/04/16	Export	24.57	1
147	2024/03/08	Reports	17.55	0
135	2023/09/21	API	47.44	1
41	2023/12/30	Export	77.74	error
57	2023/09/18	Upload	63.27	1
56	2024/06/20	Export	12.23	2
193	2024/04/28	Dashboard	35.51	1
62	2024/04/24	Export	22.52	1
11	2024/05/15	Reports	51.76	2
30	2023/12/15	Reports	21.42	0
133	2024/06/29	Reports	5.06	1
125	2023/06/23	Reports	19.56	0
132	2023/07/13	Dashboard	3.03	0
138	2024/02/29	Dashboard	70.09	0
162	2023/09/18	Upload	45.94	2
138	2024/05/25	Upload	31.84	3
19	2024/06/17	Upload	79.99	0
85	2023/06/20	Dashboard	39.75	0
65	2024/03/12	Dashboard	22.33	1
67	2023/12/26	Alerts	46.52	1
81	2023/06/09	Alerts	50.11	2
165	2024/06/03	Export	86.71	0
12	2024/05/24	Dashboard	61.73	0
75	2024/05/17	Reports	13.05	0
113	2023/12/13	Alerts	35.84	error
41	2024/02/29	API	60.23	0
140	2023/10/30	Upload	46.62	0
187	2024/04/27	Reports	41.65	error
143	2023/08/12	Dashboard###	53.8	0
101	2024/03/02	Export	8.71	1
192	2024/06/14	Upload	63.0	0
166	2024/02/18	API	24.34	1
65	2023/09/08	Dashboard	43.12	2
14	2024/06/19	Export	26.6	1
75	2024/05/09	Dashboard	35.93	0
149	2024/02/05	Reports	1.03	1
61	2023/07/22	Reports	72.37	0
82	2024/02/04	Alerts	3.99	0
178	2024/03/26	API	38.26	0
81	2024/01/06	API###	61.24	1
57	2024/05/30	Upload	67.77	0
93	2023/08/08	Upload	33.25	0
119	2024/01/15	Reports	44.54	1
28	2023/08/29	Upload	0.63	0
36	2024/03/02	API	50.5	0
20	2024/06/07	Dashboard	44.54	0
162	2023/06/16	Export	62.38	0
55	2023/06/19	Export	80.9	0
139	2024/01/28	Upload	40.24	0
58	2024/06/30	Export	31.7	1
119	2024/02/12	Export	18.46	0
3	2024/05/05	API	18.76	3
158	2024/05/16	API	23.29	0
41	2023/08/31	Export	26.83	0
38	2024/06/11	Upload	99.78	1
57	2024/06/24	Alerts	42.35	1
60	2023/06/22	Upload	72.64	1
93	2023/12/16	Alerts	25.79	0
11	2024/04/28	Reports	50.05	0
163	2023/10/19	Upload	47.66	1
45	2023/12/10	Upload	96.66	0
20	2024/02/20	Reports	34.04	0
133	2023/12/25	Reports	50.54	0
124	2024/04/05	Dashboard	4.59	0
43	2023/09/26	Dashboard	15.85	1
39	2023/09/04	API	31.46	0
31	2024/05/04	API	31.92	1
30	2024/02/02	Upload	74.88	1
42	2024/04/27	Alerts###	22.3	error
147	2024/03/30	API	35.32	1
147	2023/08/15	Dashboard	37.48	1
133	2023/12/25	Export	25.69	1
185	2024/06/07	Upload	72.84	0
56	2024/01/16	Export	67.37	1
44	2023/09/21	Alerts	62.8	0
197	2023/09/02	Export	13.66	0
186	2024/05/17	Reports	13.99	1
18	2023/09/26	Alerts	30.49	0
52	2024/02/23	Export	35.06	1
156	2023/07/20	API	70.81	3
10	2024/02/28	Export	27.51	error
169	2023/08/06	Export	37.54	error
199	2024/05/13	Upload	93.22	2
12	2024/05/23	Export	13.84	0
124	2024/06/28	Alerts	60.09	2
195	2024/05/22	Export	42.17	1
123	2024/06/27	API	42.42	error
154	2024/03/05	Alerts	45.91	error
191	2023/06/04	Export	0.24	2
97	2024/05/01	API	52.22	0
93	2023/07/25	API	123.05	0
67	2024/03/01	Alerts	67.6	1
175	2023/12/21	API	56.43	0
124	2023/08/31	Reports	37.49	0
79	2024/03/22	Reports	44.41	2
36	2024/05/03	Dashboard	83.64	0
180	2023/08/22	Dashboard	32.32	0
87	2024/03/08	Export	66.6	0
42	2023/12/17	Upload###	88.4	error
38	2024/01/28	Export	80.9	error
57	2023/12/07	Dashboard	26.71	0
103	2024/04/10	Upload	1.5	0
153	2023/06/30	API	11.81	0
52	2024/05/02	Export	20.48	error
154	2024/02/17	Export	17.82	2
173	2023/06/19	Reports	2.45	error
41	2023/07/15	Reports	7.82	1
102	2023/12/25	Export	0.77	error
181	2023/07/06	Dashboard	82.88	1
144	2024/03/25	Reports	28.44	1
58	2024/04/06	API	121.75	0
2	2023/10/12	API	100.84	0
19	2024/02/13	Reports	101.6	1
132	2023/10/10	Export	68.35	0
178	2024/01/13	Alerts	28.46	0
194	2023/11/21	Alerts	39.89	1
8	2024/02/02	Dashboard	31.4	1
57	2024/05/12	Upload	10.75	0
91	2024/02/20	Export###	39.19	0
64	2023/10/26	Dashboard	42.52	0
88	2023/07/09	Export	41.35	3
91	2023/09/20	Export	100.85	1
175	2023/09/06	Alerts	12.7	0
62	2023/10/14	API	33.83	0
159	2023/11/30	API	77.66	0
21	2024/05/12	Upload	30.33	error
139	2023/06/22	Alerts	11.41	0
148	2023/10/19	Alerts	29.17	0
131	2023/10/22	Alerts	68.14	0
14	2024/02/25	Alerts	75.99	1
