customer_id,name,signup_date,industry,plan,location
155,Customer_155,2022-03-05,E-commerce,,Berlin
156,,2023-08-22,,Basic,London
157,Customer_157,2023-01-25,Education,Basic,Bangalore
158,Customer_158,2022-11-02,Education,,London
159,Customer_159,2023-07-14,SaaS,Pro,Berlin
160,Customer_160,2022-08-13,Healthcare,,Berlin
161,Customer_161,2022-01-30,Education,Enterprise,
162,Customer_162,2023-11-27,Education,Pro,Berlin
163,Customer_163,2022-05-11,SaaS,Basic,Berlin
164,Customer_164,2023-08-30,SaaS,Basic,New York
165,Customer_165,2023-10-21,Education,Pro,Berlin
166,Customer_166,2022-07-06,Fintech,Enterprise,Berlin
167,Customer_167,2022-12-02,E-commerce,,Bangalore
168,Customer_168,2022-12-12,Education,Enterprise,Berlin
169,,2022-09-16,Fintech,,New York
170,Customer_170,,Fintech,Enterprise,San Francisco
171,Customer_171,2023-10-28,Fintech,Basic,New York
172,Customer_172,2022-09-11,E-commerce,Basic,London
173,Customer_173,2022-06-06,E-commerce,Pro,Berlin
174,Customer_174,2023-11-17,Fintech,Pro,Berlin
175,Customer_175,2023-12-18,Healthcare,Enterprise,San Francisco
176,Customer_176,2023-09-13,SaaS,Basic,San Francisco
177,Customer_177,2022-11-15,Fintech,Basic,Bangalore
178,Customer_178,2023-08-13,,,Berlin
179,Customer_179,2022-07-23,Fintech,Pro,New York
180,Customer_180,2023-12-15,Healthcare,Basic,London
181,Customer_181,2022-02-12,Healthcare,,
182,,2023-01-15,Fintech,Enterprise,New York
183,Customer_183,2023-03-07,Education,Basic,Berlin
184,Customer_184,2023-01-06,,,
185,Customer_185,2022-06-06,Education,Pro,
186,Customer_186,2023-06-19,,Enterprise,London
187,Customer_187,,Education,,Berlin
188,Customer_188,2023-08-30,Healthcare,Enterprise,San Francisco
189,Customer_189,2022-03-30,Healthcare,,San Francisco
190,Customer_190,2023-04-21,SaaS,,Bangalore
191,Customer_191,2022-01-30,Education,Enterprise,San Francisco
192,Customer_192,2023-05-15,E-commerce,Enterprise,Bangalore
193,Customer_193,2022-12-15,Healthcare,Enterprise,London
194,Customer_194,2022-01-11,SaaS,Pro,New York
195,,2022-09-05,,,Berlin
196,Customer_196,2023-07-23,E-commerce,,
197,Customer_197,2023-12-30,Education,,New York
198,Customer_198,2022-04-06,Healthcare,Pro,Berlin
199,Customer_199,2023-12-10,E-commerce,Enterprise,
200,Customer_200,2023-08-19,Healthcare,,London
